id,database,title,authors,year,journal_type,journal,citations,url,pdf
98,Google Scholar,NwQM: A neural quality assessment framework for Wikipedia,"BP Reddy, S Bhusan, S Sarkar, A Mukherjee",2020,unknown,"arXiv preprint arXiv …, 2020",2,https://arxiv.org/abs/2010.06969,https://arxiv.org/pdf/2010.06969
99,Google Scholar,Assessing the quality of Wikipedia editors through crowdsourcing,"Y Suzuki, S Nakamura",2016,Conference,"… Conference Companion on World Wide Web, 2016",11,https://dl.acm.org/doi/abs/10.1145/2872518.2891113,https://wikiworkshop.org/2016/papers/Wiki_Workshop__WWW_2016_paper_5.pdf
100,Google Scholar,Quality flaw prediction in Spanish Wikipedia: A case of study with verifiability flaws,"E Ferretti, L Cagnina, V Paiz, S Delle Donne…",2018,unknown,"Information Processing …, 2018",12,https://www.sciencedirect.com/science/article/pii/S0306457317309329,N/A
101,Google Scholar,Structural Analysis of Wikigraph to Investigate Quality Grades of Wikipedia Articles,"A Chhabra, S Srivastava, SR S. Iyengar…",2021,Conference,"… Proceedings of the Web …, 2021",1,https://dl.acm.org/doi/abs/10.1145/3442442.3452345,https://wikiworkshop.org/2021/papers/Wiki_Workshop_2021_paper_10.pdf
102,Google Scholar,Utilizing the Wikidata system to improve the quality of medical content in Wikipedia in diverse languages: a pilot study,"A Pfundner, T Schönberg, J Horn, RD Boyce…",2015,Journal,"Journal of medical …, 2015",20,https://www.jmir.org/2015/5/e110/'%20+%20match%20+%20',N/A
103,Google Scholar,The impact of topic bias on quality flaw prediction in wikipedia,"O Ferschke, I Gurevych…",2013,Conference,"Proceedings of the 51st …, 2013",15,https://aclanthology.org/P13-1071.pdf,https://aclanthology.org/P13-1071.pdf
104,Google Scholar,Detecting and correcting spelling errors in high-quality dutch wikipedia text,"M Beeksma, M Van Gompel, F Kunneman…",2018,unknown,"… Linguistics in the …, 2018",11,https://www.clinjournal.org/clinj/article/view/83,https://www.clinjournal.org/clinj/article/download/83/75
105,Google Scholar,Effects of contributor experience on the quality of health-related Wikipedia articles,"P Holtz, B Fetahu, J Kimmerle",2018,Journal,"Journal of medical Internet research, 2018",9,https://www.jmir.org/2018/5/e171/,N/A
106,Google Scholar,Relative quality assessment of Wikipedia articles in different languages using synthetic measure,"W Lewoniewski, K Węcel",2017,Conference,"International Conference on Business …, 2017",11,https://link.springer.com/chapter/10.1007/978-3-319-69023-0_24,https://www.researchgate.net/profile/Wlodzimierz-Lewoniewski/publication/320446880_Relative_Quality_Assessment_of_Wikipedia_Articles_in_Different_Languages_Using_Synthetic_Measure/links/59ef4b82aca2721ca5e9344b/Relative-Quality-Assessment-of-Wikipedia-Articles-in-Different-Languages-Using-Synthetic-Measure.pdf
107,Google Scholar,On the use of reliable-negatives selection strategies in the pu learning approach for quality flaws prediction in wikipedia,"E Ferretti, ML Errecalde, M Anderka…",2014,unknown,"2014 25th international …, 2014",17,https://ieeexplore.ieee.org/abstract/document/6974851/,https://webis.de/downloads/publications/papers/ferretti_2014.pdf
108,Google Scholar,Measuring Wikipedia Article Quality in One Dimension by Extending ORES with Ordinal Regression,N TeBlunthuis,2021,Conference,"17th International Symposium on Open Collaboration, 2021",4,https://dl.acm.org/doi/abs/10.1145/3479986.3479991,https://arxiv.org/pdf/2108.10684
109,Google Scholar,Enrichment of information in multilingual Wikipedia based on quality analysis,W Lewoniewski,2017,Conference,"International Conference on Business Information …, 2017",11,https://link.springer.com/chapter/10.1007/978-3-319-69023-0_19,http://lewoniewski.info/files/bis2017_wiki_enrichment.pdf
110,Google Scholar,Quality evaluation of search results by typicality and speciality of terms extracted from wikipedia,"M Nakatani, A Jatowt, H Ohshima, K Tanaka",2009,Conference,"International Conference on …, 2009",17,https://link.springer.com/chapter/10.1007/978-3-642-00887-0_50,https://adammo12.github.io/adamjatowt/dasfaa09.pdf
111,Google Scholar,GreenWiki: A tool to support users' assessment of the quality of Wikipedia articles,"DH Dalip, RL Santos, DR Oliveira, VF Amaral…",2011,Conference,"Proceedings of the 11th …, 2011",6,https://dl.acm.org/doi/pdf/10.1145/1998076.1998190,N/A
112,Google Scholar,Social-collaborative determinants of content quality in online knowledge production systems: comparing Wikipedia and Stack Overflow,"SA Matei, A Abu Jabal, E Bertino",2018,unknown,"Social Network Analysis and Mining, 2018",10,https://link.springer.com/article/10.1007/s13278-018-0512-3,https://par.nsf.gov/servlets/purl/10076028
113,Google Scholar,Improving information quality of Wikipedia articles with cooperative principle,"M Fidler, D Lavbič",2017,unknown,"Online information review, 2017",10,https://www.emerald.com/insight/content/doi/10.1108/OIR-01-2016-0003,https://arxiv.org/pdf/1807.03774
114,Google Scholar,An empirical study to predict the quality of wikipedia articles,"I Khan, S Hussain, H Gul, M Shahid…",2019,Conference,"World Conference on …, 2019",3,https://link.springer.com/chapter/10.1007/978-3-030-16187-3_47,https://www.academia.edu/download/64201106/AnEmpiricalStudyToPredictTheQu.pdf
115,Google Scholar,On the use of PU learning for quality flaw prediction in Wikipedia,"E Ferretti, D Hernández Fusilier…",2012,Conference,"CEUR workshop …, 2012",12,https://riunet.upv.es/handle/10251/46566,https://riunet.upv.es/bitstream/handle/10251/46566/CLEF-PAN-Wikipedia.pdf?sequence=1
116,Google Scholar,Thai Wikipedia quality measurement using fuzzy logic,K SAENGTHONGPATTANA…,2012,unknown,"… 知能学会全国大会論文集 …, 2012",6,https://www.jstage.jst.go.jp/article/pjsai/JSAI2012/0/JSAI2012_4M1IOS3c1/_article/-char/ja/,https://www.jstage.jst.go.jp/article/pjsai/JSAI2012/0/JSAI2012_4M1IOS3c1/_pdf
117,Google Scholar,Qualityrank: assessing quality of wikipedia articles by mutually evaluating editors and texts,"Y Suzuki, M Yoshikawa",2012,Conference,"Proceedings of the 23rd ACM conference on …, 2012",10,https://dl.acm.org/doi/abs/10.1145/2309996.2310047,N/A
118,Google Scholar,A Framework for Assessing the Quality of Wikipedia Articles: A Meta-synthesis of the Literature,"F Fahimnia, M Damerchiloo, M Khandan…",2022,Journal,"International Journal of …, 2022",0,https://5.190.58.17/index.php/ijism/article/view/2330,https://5.190.58.17/index.php/ijism/article/viewFile/2330/538
119,Google Scholar,Assessing Information Quality of Wikipedia Articles Through Google's EAT Model,"C Sugandhika, S Ahangama",2022,unknown,"IEEE Access, 2022",1,https://ieeexplore.ieee.org/abstract/document/9770051/,https://ieeexplore.ieee.org/iel7/6287639/9668973/09770051.pdf
120,Google Scholar,How to Inspect and Measure Data Quality about Scientific Publications: Use Case of Wikipedia and CRIS Databases,"O Azeroual, W Lewoniewski",2020,unknown,"Algorithms, 2020",6,https://www.mdpi.com/701242,https://www.mdpi.com/1999-4893/13/5/107/pdf
121,Google Scholar,Using hyperlink texts to improve quality of identifying document topics based on wikipedia,"DT Huynh, TH Cao, PHT Pham…",2009,unknown,"… on Knowledge and …, 2009",10,https://ieeexplore.ieee.org/abstract/document/5361697/,N/A
122,Google Scholar,Measuring Quality of Wikipedia Articles by Feature Fusion‐based Stack Learning,"J Hou, J Li, P Wang",2021,unknown,"… of the Association for Information Science …, 2021",1,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.449,N/A
123,Google Scholar,An evaluation of the quality of consumer health information on Wikipedia,DT Nicholson,2006,unknown,"Master's capstone, Oregon Health and Science …, 2006",8,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=cbce7927ceedf5c6e13b5b466dbcbb5f7e639b33,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=cbce7927ceedf5c6e13b5b466dbcbb5f7e639b33
124,Google Scholar,"The small worlds of Wikipedia: implications for growth, quality and sustainability of collaborative knowledge networks","M Ingawale, A Dutta, R Roy, P Seetharaman",2009,unknown,2009,14,https://aisel.aisnet.org/amcis2009/439/,https://www.academia.edu/download/82152876/ingawale2009a.pdf
125,Google Scholar,"How do metrics of link analysis correlate to quality, relevance and popularity in wikipedia?","R Hanada, M Cristo, MGC Pimentel",2013,Conference,"… of the 19th Brazilian symposium on …, 2013",9,https://dl.acm.org/doi/abs/10.1145/2526188.2526198,https://www.academia.edu/download/33528658/p105-hanada.pdf
126,Google Scholar,Cooperation and quality in Wikipedia,DWB Huberman,2007,Conference,"Proceedings of the 2007 international symposium …, 2007",4,https://www.academia.edu/download/39917727/Cooperation_and_quality_in_Wikipedia20151111-15840-1faqmc4.pdf,https://www.academia.edu/download/39917727/Cooperation_and_quality_in_Wikipedia20151111-15840-1faqmc4.pdf
127,Google Scholar,"On the relation of edit behavior, link structure, and article quality on wikipedia","T Ruprechter, T Santos, D Helic",2020,unknown,"… and Their Applications VIII: Volume 2 …, 2020",3,https://link.springer.com/chapter/10.1007/978-3-030-36683-4_20,https://www.researchgate.net/profile/Thorsten-Ruprechter/publication/337550939_On_the_Relation_of_Edit_Behavior_Link_Structure_and_Article_Quality_on_Wikipedia/links/604f20d392851c2b23cd6fdf/On-the-Relation-of-Edit-Behavior-Link-Structure-and-Article-Quality-on-Wikipedia.pdf
128,Google Scholar,A psycho-lexical approach to the assessment of information quality on wikipedia,"Q Su, P Liu",2015,Conference,"2015 IEEE/WIC/ACM International Conference on …, 2015",6,https://ieeexplore.ieee.org/abstract/document/7397452/,N/A
129,Google Scholar,On the evolution of quality flaws and the effectiveness of cleanup tags in the English Wikipedia,"M Anderka, B Stein, M Busse",2012,unknown,"Wikipedia Academy, 2012",12,https://webis.de/downloads/publications/papers/anderka_2012b.pdf,https://webis.de/downloads/publications/papers/anderka_2012b.pdf
130,Google Scholar,Thai Wikipedia article quality filtering algorithm,"N Soonthornphisaj, P Paengporn",2017,Conference,"… of the International Multi Conference of …, 2017",4,http://www.iaeng.org/publication/IMECS2017/IMECS2017_pp299-305.pdf,http://www.iaeng.org/publication/IMECS2017/IMECS2017_pp299-305.pdf
131,Google Scholar,Assessing the quality of wikipedia pages using edit longevity and contributor centrality,"X Qin, P Cunningham",1206,unknown,"arXiv preprint arXiv:1206.2517, 2012",8,https://arxiv.org/abs/1206.2517,https://arxiv.org/pdf/1206.2517
132,Google Scholar,Towards information quality assurance in Spanish Wikipedia,"E Ferretti, M Soria, SP Casseignau, L Pohn…",2017,Journal,"Journal of Computer …, 2017",6,https://www.redalyc.org/pdf/6380/638067255004.pdf,https://www.redalyc.org/pdf/6380/638067255004.pdf
133,Google Scholar,Effects of implicit positive ratings for quality assessment of wikipedia articles,Y Suzuki,2013,Journal,"Journal of Information Processing, 2013",10,https://www.jstage.jst.go.jp/article/ipsjjip/21/2/21_342/_article/-char/ja/,https://www.jstage.jst.go.jp/article/ipsjjip/21/2/21_342/_pdf
134,Google Scholar,Learning with Wikipedia in Higher Education: Academic Performance and Students' Quality Perception,"A Meseguer-Artola, I Rodríguez-Ardura…",2019,unknown,"… International Research & …, 2019",6,https://link.springer.com/chapter/10.1007/978-3-030-30809-4_12,https://www.academia.edu/download/62836665/Research___Innovation_Forum_201920200405-42090-15vzg6s.pdf#page=130
135,Google Scholar,Self-regulation: How Wikipedia leverages user-generated quality control under section 230,"KM Walsh, S Oh Lam",2010,unknown,2010,10,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1579054,N/A
136,Google Scholar,Assessing the Quality of Wikipedia Articles,QV Dang,2021,Conference,"2021 The 5th International Conference on Machine …, 2021",0,https://dl.acm.org/doi/abs/10.1145/3453800.3453801,N/A
137,Google Scholar,Quality of mental health information on Wikipedia,"P Wicks, V Bell",2012,unknown,"Psychological medicine, 2012",6,https://www.cambridge.org/core/journals/psychological-medicine/article/letter-to-the-editor-quality-of-mental-health-information-on-wikipedia/4C7455808DA13EB100F8C68F6B55FC04,N/A
138,Google Scholar,"Reciprocity and Donation: How Article Topic, Quality and Dwell Time Predict Banner Donation on Wikipedia","R Kocielnik, O Keyes, JT Morgan…",2018,Conference,"Proceedings of the …, 2018",5,https://dl.acm.org/doi/abs/10.1145/3274360,https://dl.acm.org/doi/pdf/10.1145/3274360
139,Google Scholar,Using morphological and semantic features for the quality assessment of Russian Wikipedia,"W Lewoniewski, N Khairova, K Węcel…",2017,unknown,"… on Information and …, 2017",4,https://link.springer.com/chapter/10.1007/978-3-319-67642-5_46,https://www.researchgate.net/profile/Wlodzimierz-Lewoniewski/publication/320042151_Using_Morphological_and_Semantic_Features_for_the_Quality_Assessment_of_Russian_Wikipedia/links/59ef4c06458515ec0c7b5aa2/Using-Morphological-and-Semantic-Features-for-the-Quality-Assessment-of-Russian-Wikipedia.pdf
140,Google Scholar,The adoption of wikipedia: A community-and information quality-based view,"K Wang, CL Lin, CD Chen, SC Yang",2008,Conference,"PACIS 2008 Proceedings, 2008",10,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1160&context=pacis2008,https://scholar.archive.org/work/scd2khpqqnfntmbqoeppgmeq3m/access/wayback/https://aisel.aisnet.org/cgi/viewcontent.cgi?referer=&httpsredir=1&article=1160&context=pacis2008
141,Google Scholar,Cross-lingual data quality for knowledge base acceleration across wikipedia editions,"J Göbölös-Szabó, N Prytkova, M Spaniol…",2012,Conference,"… Workshop on Quality …, 2012",9,http://eprints.sztaki.hu/6890/1/cross-lingual.pdf,http://eprints.sztaki.hu/6890/1/cross-lingual.pdf
142,Google Scholar,Quality Assessment of Peer-Produced Content in Knowledge Repositories Using Big Data and Social Networks: The Case of Implicit Collaboration in Wikipedia,S Velichety,2019,unknown,"ACM SIGMIS Database: the DATABASE for Advances …, 2019",3,https://dl.acm.org/doi/abs/10.1145/3371041.3371045,N/A
143,Google Scholar,Knowledge quality of collaborative editing in Wikipedia: an integrative perspective of social capital and team conflict,"L Zhan, N Wang, XL Shen, Y Sun",2015,unknown,2015,4,https://core.ac.uk/download/pdf/301365374.pdf,https://core.ac.uk/download/pdf/301365374.pdf
144,Google Scholar,Content and Quality of Information about Stroke in Wikipedia across Multiple Languages,"JM Marquez-Romero, Á Lee, E Soto-Cabrera…",2022,unknown,"European …, 2022",0,https://www.karger.com/Article/Abstract/521938,N/A
145,Google Scholar,Equal opportunities in the access to quality online health information? A multi-lingual study on Wikipedia,"L Couto, C Teixeira Lopes",2021,Conference,"17th International Symposium on Open …, 2021",0,https://dl.acm.org/doi/abs/10.1145/3479986.3480000,https://dl.acm.org/doi/pdf/10.1145/3479986.3480000
146,Google Scholar,Effects of stigmergic and explicit coordination on Wikipedia article quality,"K Crowston, A Rezgui",2020,Conference,"Proceedings of the Annual Hawaii International …, 2020",4,https://par.nsf.gov/servlets/purl/10301597,https://par.nsf.gov/servlets/purl/10301597
147,Google Scholar,Predicting information quality flaws in Wikipedia by using classical and deep learning approaches,"G Bazán Pereyra, C Cuello, G Capodici, V Jofré…",2019,unknown,"… Science–CACIC 2019 …, 2020",2,https://link.springer.com/chapter/10.1007/978-3-030-48325-8_1,N/A
148,Google Scholar,Quality assessment of Arabic web content: The case of the Arabic Wikipedia,"A Yahya, A Salhi",2014,unknown,"… on Innovations in Information Technology (IIT …, 2014",4,https://ieeexplore.ieee.org/abstract/document/6987558/,https://fada.birzeit.edu/bitstream/20.500.11889/4390/1/YahyaSalhiInnvations2014Paper.pdf
149,Google Scholar,Determining quality of articles in polish Wikipedia based on linguistic features,"W Lewoniewski, K Węcel, W Abramowicz",2018,Conference,"International Conference on …, 2018",3,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_45,https://www.preprints.org/manuscript/201801.0017/download/final_file
150,Google Scholar,Quality Classification of ASEAN Wikipedia Articles using Statistical Features,"K Saengthongpattana, T Supnithi…",2018,Conference,"… Joint Symposium on …, 2018",3,https://ieeexplore.ieee.org/abstract/document/8692954/,https://saki.siit.tu.ac.th/isai-nlp2018/uploads_final/51__0ce6368ae89c4b419ff2d92827ef2d42/FinalVersion-1.pdf
151,Google Scholar,Feature Analysis for Assessing the Quality of Wikipedia Articles through Supervised Classification,"E Bassani, M Viviani",1812,unknown,"arXiv preprint arXiv:1812.02655, 2018",2,https://arxiv.org/abs/1812.02655,https://arxiv.org/pdf/1812.02655
152,Google Scholar,Good quality complementary information for multilingual wikipedia,"Y Suzuki, Y Fujiwara, Y Konishi…",2012,Conference,"… Conference on Web …, 2012",3,https://link.springer.com/chapter/10.1007/978-3-642-35063-4_14,N/A
153,Google Scholar,Revisionist History: Predicting Wikipedia Article Quality With Edit Histories,"N Raman, N Sauerberg, A Partida, J Fisher",2020,unknown,2020,1,https://cs.carleton.edu/cs_comps/1920/trajectories/final-results/Revisionist_History__Predicting_Wikipedia_Article_Quality_With_Edit_Histories.pdf,https://cs.carleton.edu/cs_comps/1920/trajectories/final-results/Revisionist_History__Predicting_Wikipedia_Article_Quality_With_Edit_Histories.pdf
154,Google Scholar,Use of linguistic criteria for estimating of wikipedia articles quality,"A Kolesnyk, NF Khairova",2017,unknown,2017,9,http://repository.kpi.kharkov.ua/bitstream/KhPI-Press/49839/1/Kolesnik_Use_of_linguistic_2017.pdf,http://repository.kpi.kharkov.ua/bitstream/KhPI-Press/49839/1/Kolesnik_Use_of_linguistic_2017.pdf
155,Google Scholar,Cumulative experience and recent behavior and their relation to content quality on Wikipedia,M Tsikerdekis,2017,unknown,"Interacting with Computers, 2017",3,https://academic.oup.com/iwc/article-abstract/29/5/737/3885842,https://michael.tsikerdekis.com/downloads/10.1093.iwc.iwx010.pdf
156,Google Scholar,Quality of monkeypox information in Wikipedia across multiple languages,"EDB Ornos, JGLD Rosa, JGN Solidum…",2022,Journal,"Asian Pacific Journal of …, 2022",0,https://www.apjtm.org/article.asp?issn=1995-7645;year=2022;volume=15;issue=12;spage=571;epage=572;aulast=Ornos,N/A
157,Google Scholar,On quality assesement in Wikipedia articles based on Markov random fields,"R Kleminski, T Kajdanowicz, R Bartusiak…",2017,Conference,"Asian Conference on …, 2017",2,https://link.springer.com/chapter/10.1007/978-3-319-54472-4_73,N/A
158,Google Scholar,Quality of Articles in Wikipedia,"D Li, H Zhang, S Wang, J Wu",2011,unknown,"武汉大学学报● 信息科学版, 2011",1,http://ch.whu.edu.cn/en/article/id/724,N/A
159,Google Scholar,Assessing quality values of wikipedia articles using implicit positive and negative ratings,Y Suzuki,2012,Conference,"International Conference on Web-Age Information …, 2012",3,https://link.springer.com/chapter/10.1007/978-3-642-32281-5_13,N/A
160,Google Scholar,On the Assessment of Information Quality in Spanish Wikipedia,"G Urquiza, M Soria, S Pérez Casseignau…",2016,unknown,"… de Ciencias de la …, 2016",2,http://sedici.unlp.edu.ar/handle/10915/56750,http://sedici.unlp.edu.ar/bitstream/handle/10915/56750/Documento_completo.pdf?sequence=1
161,Google Scholar,Assessing the quality of health-related Wikipedia articles with generic and specific metrics,"L Couto, CT Lopes",2021,Conference,"Companion Proceedings of the Web Conference …, 2021",1,https://dl.acm.org/doi/abs/10.1145/3442442.3452355,https://dl.acm.org/doi/pdf/10.1145/3442442.3452355
162,Google Scholar,Ontology-Based Classifiers for Wikipedia Article Quality Classification,"K Saengthongpattana, T Supnithi…",2019,unknown,"Advances in Intelligent …, 2019",2,https://link.springer.com/chapter/10.1007/978-3-319-94703-7_7,N/A
163,Google Scholar,Ranking Wikipedia article's data quality by learning dimension distributions,"J Han, K Chen",2014,Journal,"International Journal of Information Quality, 2014",2,https://www.inderscienceonline.com/doi/abs/10.1504/IJIQ.2014.064056,N/A
164,Google Scholar,"Accuracy and quality in historical representation: Wikipedia, textbooks and the Investiture Controversy",DG Halsted,2013,unknown,"Digital Medievalist, 2013",3,https://journal.digitalmedievalist.org/article/doi/10.16995/dm.50/,N/A
165,Google Scholar,Automatically assessing the need of additional citations for information quality verification in Wikipedia articles,"G Bazán Pereyra, C Cuello, G Capodici…",2019,unknown,"… de Ciencias de la …, 2019",3,http://sedici.unlp.edu.ar/handle/10915/90453,http://sedici.unlp.edu.ar/bitstream/handle/10915/90453/Documento_completo.pdf?sequence=1
166,Google Scholar,Real-Time Prediction of Wikipedia Articles' Quality,PMBBL Moás,2022,unknown,2022,0,https://repositorio-aberto.up.pt/bitstream/10216/142752/2/571984.pdf,https://repositorio-aberto.up.pt/bitstream/10216/142752/2/571984.pdf
167,Google Scholar,Comparative assessment of three quality frameworks for statistics derived from big data: the cases of Wikipedia page views and Automatic Identification …,"F Reis, L di Consiglio, B Kovachev, A Wirthmann…",2016,Conference,"… Conference on Quality in …, 2016",5,http://www.ine.es/q2016/docs/q2016Final00316.pdf,http://www.ine.es/q2016/docs/q2016Final00316.pdf
168,Google Scholar,Contraception in the German-language Wikipedia: a content and quality analysis,"N Döring, S Lehmann…",2022,unknown,"Bundesgesundheitsblatt …, 2022",0,https://europepmc.org/article/med/35471607,N/A
169,Google Scholar,Assessing the quality of Thai Wikipedia articles using concept and statistical features,"K Saengthongpattana, N Soonthornphisaj",2014,unknown,"New Perspectives in …, 2014",3,https://link.springer.com/chapter/10.1007/978-3-319-05951-8_49,N/A
170,Google Scholar,Interactive Quality Analytics of User-generated Content: An Integrated Toolkit for the Case of Wikipedia,"CD Sciascio, D Strohmaier, M Errecalde…",2019,unknown,"ACM Transactions on …, 2019",1,https://dl.acm.org/doi/abs/10.1145/3150973,N/A
171,Google Scholar,ANFIS Based Models for Accessing Quality of Wikipedia Articles,N Ullah,2010,unknown,2010,2,https://www.diva-portal.org/smash/record.jsf?pid=diva2:518927,https://www.diva-portal.org/smash/get/diva2:518927/FULLTEXT01.pdf
172,Google Scholar,Structure-Based Features for Predicting the Quality of Articles in Wikipedia,"B de La Robertie, Y Pitarch, O Teste",2017,unknown,"Prediction and Inference from Social …, 2017",1,https://link.springer.com/chapter/10.1007/978-3-319-51049-1_6,N/A
173,Google Scholar,Evaluating article quality and editor reputation in Wikipedia,"Y Lu, L Zhang, J Li",2013,Conference,"China Semantic Web Symposium and Web Science …, 2013",1,https://link.springer.com/chapter/10.1007/978-3-642-54025-7_19,N/A
174,Google Scholar,REVISION AND QUALITY ANALYSIS OF LIBRARY AND INFORMATION SCIENCE CONCEPTS IN WIKIPEDIA,"C Ghosh, U Bhattacharya",2021,unknown,"Library Philosophy and Practice, 2021",0,https://search.proquest.com/openview/b72aa5a15431b3df4a0bd5c2d0a454b4/1?pq-origsite=gscholar&cbl=54903,N/A
175,Google Scholar,Citation Detective: a Public Dataset to Improve and Quantify Wikipedia Citation Quality at Scale,"AJ Chou, G Gonçalves, S Walton, M Redi",2020,unknown,2020,2,https://upload.wikimedia.org/wikipedia/commons/6/6f/Citation_Detective_WikiWorkshop2020.pdf,https://upload.wikimedia.org/wikipedia/commons/6/6f/Citation_Detective_WikiWorkshop2020.pdf
176,Google Scholar,"A Strategy Oriented, Machine Learning Approach to Automatic Quality Assessment of Wikipedia Articles",G De La Calzada,2009,unknown,2009,1,https://digitalcommons.calpoly.edu/theses/306/,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1320&context=theses
177,Google Scholar,Interactive Quality Analytics of User-generated Content: An Integrated Toolkit for the Case of Wikipedia.,"C Di Sciascio, D Strohmaier, M Errecalde…",2019,unknown,"ACM Trans. Interact …, 2019",1,https://www.researchgate.net/profile/Cecilia-Di-Sciascio/publication/332066729_Interactive_Quality_Analytics_of_User-generated_Content_An_Integrated_Toolkit_for_the_Case_of_Wikipedia/links/5cab0f1792851c64bd57c0f9/Interactive-Quality-Analytics-of-User-generated-Content-An-Integrated-Toolkit-for-the-Case-of-Wikipedia.pdf,https://www.researchgate.net/profile/Cecilia-Di-Sciascio/publication/332066729_Interactive_Quality_Analytics_of_User-generated_Content_An_Integrated_Toolkit_for_the_Case_of_Wikipedia/links/5cab0f1792851c64bd57c0f9/Interactive-Quality-Analytics-of-User-generated-Content-An-Integrated-Toolkit-for-the-Case-of-Wikipedia.pdf
178,Google Scholar,Overview of the 1st International Competition on Quality Flaw Prediction in Wikipedia,"P Forner, J Karlgren, C Womser-Hacker",2012,unknown,"CLEF 2012 Evaluation Labs …, 2012",1,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ad12c492cd28aed9dec6f010a0762cdcf144e827,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ad12c492cd28aed9dec6f010a0762cdcf144e827
179,Google Scholar,A Modular System For Predicting Quality Flaws In Wikipedia,"O Ferschke, I Gurevych, MR Flawfinder",2014,unknown,"… of the Notebook For Pan at …, 2014",1,https://pan.webis.de/downloads/publications/slides/ferschke_2012.pdf,N/A
180,Google Scholar,"Wikipedia-based Corpora for Analyzing Revisions, Discussions and Text Quality in Collaborative Writing","J Daxenberger, O Ferschke…",N/A,Conference,Workshop on Automatic …,1,http://download.hrz.tu-darmstadt.de/pub/FB20/Dekanat/Publikationen/UKP/Nosdac_Abstract.pdf,http://download.hrz.tu-darmstadt.de/pub/FB20/Dekanat/Publikationen/UKP/Nosdac_Abstract.pdf
181,Google Scholar,Understanding the 'quality motion'of Wikipedia articles through semantic convergence analysis,"H Deng, B Tarigan, M Grigore, J Sutanto",2015,Conference,"International Conference on …, 2015",1,https://link.springer.com/chapter/10.1007/978-3-319-20895-4_7,N/A
182,Google Scholar,Quality contents creation in a commons: Based peer production on line environment: The IT. Wikipedia Experience,S Monaci,2008,Conference,"IADIS International Conference WWW/Internet, 2008",1,https://core.ac.uk/download/pdf/234914901.pdf,https://core.ac.uk/download/pdf/234914901.pdf
183,Google Scholar,The Wikipedia Medical Student: Comparing the Quality of Vascular Surgery Topics Across Two Commonly Used Educational Resources,"P Jetty, MM Yacob, S Lotfi",2014,Journal,"Journal of Vascular Surgery, 2014",2,https://www.jvascsurg.org/article/S0741-5214(14)01555-9/abstract,https://www.jvascsurg.org/article/S0741-5214(14)01555-9/pdf
184,Google Scholar,Structural analysis of wikigraph to investigate quality grades of wikipedia articles,"P Saini, SRS Iyengar, A Chhabra, S Srivastava",2021,unknown,2021,0,http://dspace.iitrpr.ac.in:8080/xmlui/handle/123456789/2148,N/A
185,Google Scholar,The Category Structure in Wikipedia: To Analyze and Know Its Quality Using K-Core Decomposition,"Q Wang, X Wang, Z Chen",2013,Conference,"International Conference on Knowledge …, 2013",1,https://link.springer.com/chapter/10.1007/978-3-642-39787-5_37,N/A
186,Google Scholar,Building Quality in Wikipedia: A Theoretical Approach,G Zhu,2009,unknown,2009,0,https://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/1397/Zhu?sequence=1,https://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/1397/Zhu?sequence=1
187,Google Scholar,Quality assessment of Wikipedia content using topic models,"LCJ Santos, T Christofani, IS Silva…",2019,Conference,"Proceedings of the 25th …, 2019",2,https://dl.acm.org/doi/abs/10.1145/3323503.3360628,N/A
188,Google Scholar,"VUONG, Ba-Quy. On Improving Wikipedia Search using Article Quality.(2007)","M HU, EP LIM, A SUN, HW LAUW",N/A,Conference,WIDM'07: Proceedings of the 9th Annual …,0,https://core.ac.uk/download/pdf/13248410.pdf,https://core.ac.uk/download/pdf/13248410.pdf
189,Google Scholar,Promoting Quality in Wikipedia through Enculturation,I AlanBorning,N/A,unknown,N/A,0,https://pensivepuffin.com/dwmcphd/papers/Beschastnikh.et.al.Workshop.GROUP09.pdf,https://pensivepuffin.com/dwmcphd/papers/Beschastnikh.et.al.Workshop.GROUP09.pdf
190,Google Scholar,Predicting Information Quality Flaws in Wikipedia by Using Classical and Deep Learning Approaches,"GVB Jofré, ECF Pereyra, G Capodici…",2019,unknown,"… –CACIC 2019: 25th …, 2020",0,https://books.google.com/books?hl=en&lr=&id=cdTkDwAAQBAJ&oi=fnd&pg=PA3&dq=%22wikipedia%22+%22quality%22&ots=aG6NjUEKNP&sig=2RDcxnooGVWcAvW_zFyUSRtZYdc,N/A
191,Google Scholar,Quality Evaluation of Wikipedia Articles Through Edit History and Editor Groups,"W Se, M Iwaihara",2010,unknown,"IEICE Technical Report; IEICE Tech. Rep., 2010",0,https://www.ieice.org/ken/paper/20100804z0AI/eng/,N/A
