id,title,url,pdf
1,Measuring article quality in wikipedia: models and evaluation,https://www.semanticscholar.org/paper/ee70063f74e209ec5dc3edfa13fbb82d60d1a3eb,
2,Cooperation and quality in wikipedia,https://www.semanticscholar.org/paper/9c61b818ecc29a132592d886fd0d5cb0047b5b6d,
3,Who does what: Collaboration patterns in the wikipedia and their impact on article quality,https://www.semanticscholar.org/paper/620ba4d148d6e8d0f3103bf6ec47209534a33710,
4,Size matters: word count as a measure of quality on wikipedia,https://www.semanticscholar.org/paper/c6f61f344c919493886bf67d0e64e0242ae83547,
5,Harnessing the wisdom of crowds in wikipedia: quality through coordination,https://www.semanticscholar.org/paper/5ead79bbdb5d396f3a5900ff1b71ee44e8061dca,
6,Determinants of wikipedia quality: the roles of global and local contribution inequality,https://www.semanticscholar.org/paper/36dce0334d47e45cd37f9484b464ee3857cbdc37,
7,Information quality work organization in wikipedia,https://www.semanticscholar.org/paper/89c5bef3053bf3e4953204c7357ff838523b7488,
8,On measuring the quality of Wikipedia articles,https://www.semanticscholar.org/paper/68c1ca9cf4ef3bb12e17ea38c6155b3374ccff88,http://users.csc.calpoly.edu/%7Edekhtyar/publications/WICOW2010.pdf
9,Don't bite the newbies: how reverts affect the quantity and quality of Wikipedia work,https://www.semanticscholar.org/paper/b2149024c793fb323b4fbe940c42ecf566860105,
10,Assessing the quality of Wikipedia articles with lifecycle based metrics,https://www.semanticscholar.org/paper/777a29dff88b22c0cf2e38683cbaf183447a985b,
11,Statistical measure of quality in Wikipedia,https://www.semanticscholar.org/paper/54333cd5b3f6d0148f0af632455faafb8dce7567,
12,Information quality discussions in wikipedia,https://www.semanticscholar.org/paper/ebe949e01d044a25daa0e6cabb3091cc319d361f,
13,Tell me more: an actionable quality model for Wikipedia,https://www.semanticscholar.org/paper/00f5c7311b9ecc2d91cb3ab7cac6bb6acec28580,
14,Automatic quality assessment of content created collaboratively by web communities: a case study of wikipedia,https://www.semanticscholar.org/paper/412e1cf936f9a0aa4b289f14136174232e8f4e38,
15,Learning to Predict the Quality of Contributions to Wikipedia,https://www.semanticscholar.org/paper/029c4971f7edd68c667baf15de392dbf104072f7,
16,Measuring Quality of Collaboratively Edited Documents: The Case of Wikipedia,https://www.semanticscholar.org/paper/31f226174f2da4ceca288b93769371c388d6c4fb,https://hal.archives-ouvertes.fr/hal-01388614/file/CIC2016.pdf
17,Predicting quality flaws in user-generated content: the case of wikipedia,https://www.semanticscholar.org/paper/ab675867bf0d77b8d6c6b5b7dc2b00075ad422c4,
18,Quality and Importance of Wikipedia Articles in Different Languages,https://www.semanticscholar.org/paper/dd5a0bd3b918f4bc43568d461e60345fdeb55f21,
19,"A jury of your peers: quality, experience and ownership in Wikipedia",https://www.semanticscholar.org/paper/b91411b9d80525ed6fa61ab01f2a1c5459fbd05d,
20,Automatically Assessing Wikipedia Article Quality by Exploiting Article-Editor Networks,https://www.semanticscholar.org/paper/f99a7a7ceca5bfe2e1c8c4d0ea5b67203dbc4f34,https://ilps.science.uva.nl/wp-content/uploads/sites/8/2015/11/DIR2015-proceedings.pdf
22,Interpolating Quality Dynamics in Wikipedia and Demonstrating the Keilana Effect,https://www.semanticscholar.org/paper/1324bad076e1706e6b95144b738c7ae15cf4bb6e,http://dl.acm.org/ft_gateway.cfm?id=3125475&type=pdf
23,An end-to-end learning solution for assessing the quality of Wikipedia articles,https://www.semanticscholar.org/paper/4244e4b33e00bc221f9e5fd78adde241ee499cc5,https://hal.inria.fr/hal-01559693/file/OpenSym2017%20%281%29.pdf
